对象,pattern,观点词,个数
效果,能 这么-,好,1.0
感到,头发-,柔顺,1.0
效果,真的 很-,持久,2.0
追评,用 完 感觉 头皮 很-,清爽,1.0
头发,就 很-,蓬松,1.0
洗发水,真的 很-,好,2.0
头发,蓬松 还-,顺,1.0
洗发膏,的+,好,1.0
变得,很 蓬松-,清爽,1.0
产品,效果 是 我 用过 的 效果 最 明显 的+,蓬松,1.0
头发,一直 以来 都-,容易,1.0
控油,效果 真心-,好,1.0
香味,好闻 加上-,持久,1.0
超市,活动 价 还-,便宜,1.0
快递,非常-,快,1.0
控油,效果 也-,很棒,7.0
留香,时间-,久,1.0
吹干,之后 头发 就 头发 都-,巨,1.0
头发,后 的 清爽 感-,持久,1.0
试用装,气味 很-,香,1.0
头皮,状况 有 了-,显著,1.0
喜欢,很-,香,1.0
油腻,不+,蓬松,3.0
瓶子,也-,很大,1.0
气味,味道-,清新,2.0
味道,很 很-,香,1.0
洗发水,去 油力 还是 很-,不错,2.0
头皮,的 家 人们 都 知道 这个-,苦恼,1.0
控油,效果 特别 好 洗完 头发 很-,清爽,1.0
购买,值得+,浓,1.0
洗发水,的 泡沫 很-,丰富,1.0
都用,的 这家 两个 搭配 用 特别-,好,1.0
性价比,很-,高,29.0
香味,好闻 加上 持久 的-,蓬松,1.0
大油头,真是 的 太-,友好,1.0
香味,也-,很棒,1.0
感觉,用 着-,不错,1.0
包装,非常 仔细 、-,严实,1.0
控油,效果 特别 的-,好,2.0
效果,还是-,不错,3.0
洗完,头发 干净 又-,蓬松,1.0
感觉,很-,一般,2.0
追评,干枯-,毛躁,1.0
头皮,也-,清爽,1.0
头发,依旧 蓬松 迷人 的 香味 也 很-,持久,1.0
头发,看起来 更-,健康,2.0
头发,会-,痒,1.0
好像,瓶装 的 量+,大,1.0
呵护,得 很-,好,1.0
刺激,不+,清新,1.0
朋友,使用 以后 觉得 很-,不错,1.0
发根,几天+,完好,1.0
洗发水,的 控油 能力 确实-,不错,1.0
感觉,好多 明星 推荐 的 商品 应该 不会-,差,1.0
家用,了 觉得-,不错,1.0
头发,很 清爽-,蓬松,1.0
头发,真的 就 很-,柔顺,1.0
控油,的 效果 真的 是 特别 的-,好,1.0
头发,都 巨 蓬松-,柔顺,1.0
头皮屑,什么 的 清洗 的 也 很-,干净,1.0
体验感,很-,差,1.0
头发,都 没掉 这么-,快,1.0
气味,还 送 了 试用装+,不错,1.0
头皮,不会-,干痒,1.0
头发,超级-,清爽,1.0
皮得很,干净-,清爽,1.0
味道,的+,挺软,2.0
宝贝,包装 很-,好,1.0
救星,出油 的 人 来说 简直 就是+,容易,1.0
牌子,选择 自己-,合适,1.0
追评,洗完 头发 很 清爽-,舒服,1.0
闻到,就 感觉 很-,舒适,1.0
控油,的 特别-,好,1.0
洗完,也 很-,蓬松,2.0
客服,服务态度-,好,1.0
洗完,后 很-,蓬松,3.0
洗发,后-,蓬松,1.0
控油,效果 的 同时 也 有-,蓬松,1.0
头皮,洗发水 改善+,舒爽,1.0
出油,很-,严重,1.0
好用,很-,香,1.0
产品,的 产品 今天 刚刚 收到 这个+,便宜,1.0
洗完,头发-,清洁,1.0
味道,特别-,好,3.0
找到,一款-,合适,1.0
洗发水,和 水润 亮泽 护发素 都 是 正品 质量 很-,好,2.0
洗发水,用 完 之后 头皮-,红,1.0
质量,特别 的-,好,1.0
追评,油皮 头-,成功,1.0
瓶子,好-,小,1.0
清洗,的 很-,干净,1.0
商品,气味 商品-,不错,1.0
沙龙,控油 洗发水 成为 我们 家 的-,新宠,1.0
头发,不会 变得-,干燥,1.0
控油,蓬松度 效果-,很棒,1.0
追评,太 差 了 没用过 这么-,差,1.0
洗头,都 还 挺-,蓬松,1.0
泡沫,丰富 而且 很-,香,1.0
洗完,头 去-,直接,1.0
效果,的 蓬松+,持久,1.0
质量,很-,好,20.0
产品,的+,很棒,1.0
满意,价格 挺-,好,1.0
控油,能力 非常-,强,1.0
气味,很-,细腻,1.0
感觉,也 比较-,柔顺,1.0
不油,几天 都+,好,1.0
洗出来,很-,干净,1.0
冲洗,且 易+,细腻,1.0
效果,和 去屑 效果 味道 什么 的 都-,不错,1.0
妈妈,也 给 给+,好,1.0
追评,我 的 头发 一直 以来 都-,容易,1.0
洗完,头发 蓬松 又-,柔顺,1.0
朋友,使用 以后 觉得-,不错,1.0
头发,好-,难,1.0
去屑,效果 都-,不错,2.0
洗头,而且 可以 坚持 两三天 不+,蓬松,1.0
味道,也 很-,清爽,1.0
相比,其他 洗发水 来说 控油 的 效果 还是-,不错,1.0
头发,吸收 很-,好,2.0
控油,效果-,确实,5.0
优惠,力度-,很大,2.0
东西,收到 了 非常-,好,1.0
洗完,很-,舒服,5.0
控油,比 其他 家-,持久,1.0
洗发水,是 闺蜜 用 了-,好,1.0
评价,洗发水 的 效果 很-,好,1.0
寻找,一款 能够 让 你 的 头发 保持-,清爽,1.0
洗发水,效果 非常-,好,2.0
关键,的 是用 了 之后 掉 发-,严重,1.0
头发,洗 不-,干净,1.0
气味,洗完 头发 很-,香,1.0
头发,依然 保持-,清爽,1.0
服务,也-,很棒,1.0
头发,洗完 之后 特别-,干净,1.0
净化,头皮 效果-,不错,1.0
控油,很-,持久,1.0
清洁力,很-,强,5.0
感觉,还-,挺好,2.0
味道,香香的 还-,持久,1.0
心情,也 随之-,愉悦,1.0
包装,贼-,差,1.0
洗发水,护理 头皮 的+,温和,1.0
商品,气味 很-,清新,1.0
头发,依旧-,蓬松,1.0
洗完,顺滑 不-,干燥,1.0
护发素,的 头发 很 柔顺 都 不用 洗+,挺好,1.0
去屑,止痒 效果 很-,好,2.0
洗完,头发 蓬松 很-,清爽,1.0
回购,了-,好,7.0
香味,很-,持久,4.0
头发,就-,长,1.0
控油,和 去屑 的 自用 发膜 也 用 了 很-,不错,1.0
无限,回购-,好,1.0
味道,什么 的 都-,不错,1.0
头发,让 人 心情 无比-,舒畅,1.0
洗完,就 会 感觉 很-,清爽,1.0
订单,处理 非常-,迅速,1.0
头发,使用 起来 这个-,蓬松,1.0
追评,泡沫-,细腻,1.0
头发,又 油 又-,痒,1.0
洗发,洗发水+,柔顺,1.0
洗发水,洗出来 很-,蓬松,1.0
洗发水,控油 的 时间-,长,1.0
控油,效果 真心-,不错,3.0
头发,后 很-,容易,1.0
喜欢,清香 挺+,舒服,1.0
头皮,还+,清爽,1.0
去屑,很-,干净,1.0
去屑,能 看到+,明显,1.0
油头,太-,友好,1.0
追评,真心 推荐 我 洗发水-,确实,1.0
包装,严实 质量-,好,1.0
感觉,效果 还是 很-,不错,1.0
头发,香 飘飘 的-,柔顺,1.0
体验,到 了 头发 包脸 的-,快乐,1.0
洗完,头发 蓬松 柔顺 不-,干燥,1.0
追评,控油 和 去屑 的 效果 都 是-,很好,1.0
追评,彻底解决-,大,1.0
洗出来,头发 很-,蓬松,2.0
头皮,不会-,痒,1.0
质量,也-,不错,1.0
头发,也 很-,清爽,1.0
效果,比 我 预期 想象 的-,好,1.0
发质,油性+,偏,1.0
洗出来,的 头发 很-,蓬松,1.0
看抖,音 推荐 都 很-,好,1.0
冲洗,就+,容易,1.0
效果,真的-,很棒,6.0
脱发,比 去年-,秃,1.0
客服,态度 非常-,好,1.0
感觉,是-,假,2.0
喜欢,不错 很好 很+,不错,1.0
头发,一 整个-,蓬松,1.0
头发,都 会 洗完 之后 变得 更加-,丰盈,1.0
头皮,没有-,不适,1.0
东西,很-,不错,1.0
回购,顾客 来+,老,1.0
效果,确实-,不错,1.0
按摩,一下 真的 很-,舒服,1.0
商家,还 送 了-,小,1.0
油腻,贴 脸 到-,蓬松,1.0
头发,一整天 都 保持-,清爽,2.0
头发,泡沫 绵密 我 大 油头 洗完 之后+,好,1.0
回购,质量-,好,1.0
头发,真的 很-,蓬松,6.0
回购,质量 好-,差,1.0
好像,洗 不-,干净,2.0
评用,着-,很好,1.0
发质,塌 的+,细软,1.0
感觉,很-,舒适,1.0
红色,的 比较 香味 偏-,清淡,1.0
男女,洗头发 都 非常-,好,1.0
香味,洗 的 也-,干净,1.0
气味,持 香-,久,1.0
好评,是+,全,1.0
油力,去+,持久,1.0
洗发水,它 的 泡沫 很-,细腻,1.0
洗发水,去 油 效果 很-,好,1.0
洗完,头发-,好,2.0
控油,效果-,好,26.0
洗发水,的 控油 效果 很-,好,2.0
头发,可以-,蓬松,1.0
效果,也 特别 的-,好,1.0
追评,这 一次 的-,很难,1.0
冲洗,很 好+,好,1.0
洗完,头发 很 顺滑 很-,蓬松,1.0
头皮,是 贴着+,老,2.0
头发,在 洗完 后 明显-,清爽,1.0
头皮屑,想挠 导致 挠出+,痒越,1.0
效果,应该 也-,不错,1.0
洗完,发根-,直接,1.0
感觉,头发 很-,轻,1.0
产品,太 让 我-,惊喜,2.0
头发,后 真的 很-,蓬松,1.0
头发,上 揉搓 很-,温和,1.0
感觉,效果 还-,不错,1.0
头发,塌 的+,细软,1.0
头发,光泽度 非常 的-,好,1.0
上头,的+,软软,1.0
有用,过 觉得-,挺好用,1.0
熬夜,打游戏 都 可以 隔上-,好,2.0
效果,控油+,确实,1.0
头发,一直 保持-,高,1.0
物流,超级-,快,2.0
洗完,头 后 特别-,清爽,1.0
洗发水,真的-,不错,3.0
配方,对 头皮 非常-,友好,1.0
感觉,确实 很-,不错,1.0
商品,很-,好,6.0
活动,力度-,很大,1.0
追评,这 是 我 用过 最-,难用,1.0
宝贝,的+,好,2.0
价格,实惠 对 环境 也 比较-,友好,1.0
打湿,之后 在 头发 上 揉搓 很-,温和,1.0
头发,在-,清洁,1.0
洗发水,我 早早 购买 了 这款+,幸好,1.0
东西,非常-,不错,1.0
头皮,效果-,不错,1.0
买到,这么-,好,3.0
控油,很-,彻底,1.0
喜欢,的 香味 很+,清淡,1.0
头发,顺滑-,蓬松,1.0
洗完,几次 了+,好,1.0
吹干,头发 很 顺滑-,蓬松,1.0
洗发水,用 的+,最好,4.0
气味,淡淡的-,香,1.0
追评,这个 洗发水 用 完 之后 头皮-,红,1.0
护发素,而且 搭配 使用 水润 亮泽+,好,1.0
先用,了 净屑-,舒爽,1.0
洗完,头发-,确实,2.0
头发,且 易于 冲洗 洗 后+,丰富,1.0
体验感,特别-,好,1.0
拧开,闻 起来 很-,舒服,1.0
洗完,头发 能 管好 就-,好,1.0
头皮屑,都-,少,1.0
赠品,也 挺-,好,1.0
价格,实惠-,便宜,1.0
头皮屑,的 去除+,有效,1.0
感觉,很-,好,2.0
头发,超-,软顺,1.0
洗发水,味道 非常-,香,1.0
发丝,也 是 很 干净-,蓬松,1.0
孩子,用 了 都-,合适,1.0
头发,非常 蓬松-,柔软,1.0
区别,的+,很大,1.0
买来,家里 洗发水 用 完 了 打算+,正好,1.0
头顶,还有-,蓬松,1.0
味道,很 好闻 很-,香,1.0
控油,能力-,强,3.0
消息,很快 态度 也-,不错,1.0
去屑,效果 很-,好,1.0
商品,包装 很-,好,1.0
洗感,很-,舒服,1.0
效果,很-,不错,12.0
头发,很 蓬松-,柔顺,4.0
洗完,后 感觉 头 都-,轻松,1.0
不油,也+,很顺,1.0
追评,非常-,差,1.0
顺滑,了 很+,毛躁,1.0
感觉,很 清爽 也 很-,蓬松,1.0
效果,也 很-,好,12.0
打开,闻 一下 很-,香,1.0
姐妹,应该 能 理解 油 的 反光 的-,痛,2.0
状况,有 了-,显著,1.0
护发,养 发香味-,独特,1.0
快递,发货-,快,1.0
头发,还-,香,1.0
服务,且 易于 冲洗 洗 后 头发 顺滑 卖家+,丰富,1.0
宝贝,产品质量 很-,好,1.0
气味,洗起来-,舒服,1.0
变得,蓬松-,清爽,1.0
头发,容易-,干燥,1.0
洗发膏,的 效果 很-,好,1.0
效果,的+,很好,1.0
头皮,感觉 特别-,干净,1.0
好用,真的 很+,好,1.0
价格,不-,贵,5.0
头发,就 更 干净-,舒爽,3.0
效果,很 是-,不错,1.0
商品,非常-,好,1.0
头发,贼-,清爽,1.0
洗发水,确实 用 起来 感觉-,不错,1.0
洗完,以后 头发-,蓬松,1.0
控油,觉得+,飘柔,1.0
头发,不-,清爽,1.0
气味,就 很-,香,1.0
头发,后 的-,清爽,1.0
头皮,感到-,干燥,4.0
洗起来,很-,清爽,1.0
只能,说 营销 做 的-,不错,1.0
卖家,非常-,好,1.0
插入式,营销 还 以为 很-,不错,1.0
牌子,洗头水 很-,好,1.0
效果,让 我 非常-,惊喜,1.0
包装,完好 物流-,快,1.0
价格,挺-,合适,1.0
效果,以后+,具体,1.0
头发,不仅-,柔顺,1.0
控油,和 蓬松 效果 是 我 用过 的 效果 最-,明显,1.0
头顶,很-,干净,1.0
感觉,每 一根 发丝 都-,充满,1.0
头发,不仅-,清洁,1.0
性价比,还-,不错,1.0
头皮,痒 的-,厉害,1.0
追评,还是 被-,小,1.0
味道,也 很-,香,8.0
尝试,了 好 几款 都-,很棒,1.0
洗完,吹干 之后 头发 就 头发 都-,巨,1.0
品质,一如既往 的-,好,1.0
物流,也 蛮-,快,1.0
效果,还-,不错,9.0
气味,很-,香,31.0
追评,看看 这 洗发水 就是-,好,1.0
感到,干燥 或-,不适,1.0
追评,好用-,蓬松,1.0
赠送,的 发膜 也 很-,好,1.0
追评,qi 能够 深入-,清洁,1.0
去屑,控油 效果 特别-,好,1.0
追评,不 知道 怎么 评价-,好,1.0
控油,去屑 效果 真的-,不错,1.0
头发,感觉 洗 的 老-,干净,1.0
洗完,很-,光滑,1.0
买完,后 刷到 的 都 是 说-,容易,1.0
活动,价-,好,1.0
变得,更加-,健康,2.0
头发,是-,直,1.0
期待,它 的-,蓬松,1.0
赠品,也 很-,好,1.0
味道,也-,香,1.0
香味,也 很-,持久,6.0
头皮屑,也-,确实,1.0
头发,一点 都-,不涩,1.0
控油,效果-,极佳,1.0
洗完,头 后 特别 清爽-,舒适,1.0
好评,我 就 会 给+,不错,1.0
气味,那个 去 油 的 很-,香,1.0
发丝,也 很-,柔顺,1.0
控油,的+,很大,1.0
洗感,特别-,舒服,1.0
效果,也 是 非常-,好,1.0
价格,又 这么-,便宜,1.0
够买,kono 味道 很-,香,1.0
过度,去 油 导致 头发-,干燥,2.0
变得,更加 顺滑-,柔软,2.0
头皮,一整天 都 能 保持-,清爽,1.0
脸蛋,都-,小,1.0
头发,也 比较-,柔顺,1.0
头发,还是 很-,清爽,3.0
商品,气味 这 款 洗发水 非常-,好,1.0
东西,就 会 复制 这段话 还 会-,认真,1.0
产品,做 大 做-,强,1.0
头发,蓬松 又-,清爽,1.0
洗完,头发 后 喜欢 这种-,干爽,1.0
商家,太-,精明,1.0
宝贝,我 就 会 给 好评+,不错,1.0
好用,超-,惊喜,1.0
妹子,头发+,长,1.0
味道,是-,清淡,1.0
效果,去屑-,柔顺,1.0
商品,气味 香味 很 清新-,舒服,1.0
洗完,之后 头皮 也 没有-,痒,1.0
洗发水,还要-,好,1.0
光泽度,头发+,完后,1.0
头发,感觉 很 清爽 也 很-,蓬松,1.0
商品,气味 持 香-,久,1.0
体验,不是 很-,好,1.0
追评,产品 很-,好,1.0
发货,也-,快,2.0
发现,在 洗发 后 头皮 感觉-,清爽,1.0
效果,很-,差,1.0
感觉,几天 不会+,好,1.0
官旗,性价比 很-,高,1.0
洗发露,博主 都 在 推 的+,大,1.0
容量,瓶+,一大,1.0
洗发水,的 控油+,不错,1.0
头发,感觉 很-,清爽,1.0
重点,是 洗完 后 头皮-,不痒,1.0
自用,发膜 也 用 了 很-,不错,1.0
出油,也 变得 越来越-,慢,1.0
头发,感觉 更加-,柔软,2.0
洗完,头发 很-,蓬松,24.0
卖家,服务态度 很-,好,2.0
洗发水,的的 花香调 香味-,清新,1.0
效果,去 油+,清爽,1.0
气味,味道 挺-,香,1.0
洗完,能 感觉 整个 头皮 都-,清爽,1.0
头皮,护理+,温和,1.0
气味,味道 还-,不错,2.0
变得,格外-,清爽,1.0
客服,很 有-,耐心,1.0
头发,以前 总是-,容易,1.0
洗完,之后 头发 可以-,蓬松,1.0
产品,控油-,最好,1.0
地址,上 都 有 写 楼层 而且 又 不-,高,1.0
商品,气味 控油 能力-,强,1.0
头发,感觉 至少-,蓬松,1.0
洗完,头发 很-,舒服,1.0
收到,了 特别-,好,1.0
商品,气味 这个 味道 太-,大,1.0
头发,也 很-,舒服,2.0
好用,对 我 这种 油头 特别 特别-,友好,1.0
用完,的 头皮 很-,清爽,1.0
感觉,变-,清爽,1.0
气味,产品 特别-,好,1.0
效果,是 真的 很-,好,1.0
希望,越来越-,好,1.0
感觉,的+,蓬松,3.0
头皮屑,去除+,有效,2.0
体验,更加-,舒适,1.0
头皮,都 感觉-,清爽,1.0
购买,第二次+,香,1.0
香味,也-,清新,1.0
整体,来说 很-,好,1.0
头发,没有 之前-,毛躁,1.0
朋友,都 在 用-,挺好,1.0
商品,气味 气味-,不错,1.0
朋友,推荐-,好,2.0
追评,效果 真的-,不错,1.0
商品质量,相当-,不错,1.0
洗完,头发 后 喜欢 这种 干爽 和-,清爽,1.0
头皮屑,是+,全,1.0
洗完,头发-,滑滑,1.0
洗完,头发 特别-,痒,1.0
价格,也 很-,合适,1.0
清洁度,也 很-,好,1.0
感觉,是 比 其他 的 洗发水 要-,蓬松,2.0
洗发水,成为 我们 家 的-,新宠,1.0
泡沫,很 绵密 留香 也-,挺久,1.0
泡沫,的+,细腻,1.0
泡沫,是 非常-,柔软,1.0
洗完,感觉 每 一根 头发丝 都-,干净,1.0
妈妈,也 买 了 给+,不错,1.0
追评,本来 以为 这么-,便宜,1.0
洗完,头皮 特别-,清爽,1.0
顺滑,而且 很+,蓬松,1.0
包装,精美 高端 大气 上档次 非常 好用 很-,柔顺,1.0
性价比,超级-,好,1.0
护发,效果 很-,好,1.0
感觉,洗 了 之后 头发 是 掉 得-,少,1.0
脱发,很-,严重,1.0
头皮,洗 的 特别-,干净,1.0
洗发水,很-,清爽,1.0
洗完,没油 还 感觉 头发 很-,轻,1.0
头发,变得 更加-,清爽,4.0
试用装,用 了 效果-,不错,1.0
浓度,太-,高,1.0
洗发,后 头发 顺滑-,蓬松,1.0
感到,心情-,愉悦,1.0
不用,几天 都+,好,1.0
头发,以后 总是 觉得 头上 还是 很-,重,1.0
洗发水,已经 回购 了-,好,1.0
产品,值得 大家 选购 的+,不错,1.0
亮泽,而且 搭配 使用 水润+,好,1.0
头皮,非常-,友好,2.0
感觉,洗 头皮 很-,舒服,1.0
气味,气味-,不错,1.0
感觉,掉-,少,1.0
洗发水,买 了-,好,1.0
头发,干净 又-,蓬松,1.0
包装,也 很-,好,2.0
好闻,用+,好,4.0
包装,的 也 很-,好,2.0
头发,而且 洗 了+,头痒,1.0
头皮,贼-,清爽,4.0
气味,气味 很-,舒服,1.0
洗发水,不敢 轻易 换+,一般,1.0
洗发水,用 的 效果 很-,好,1.0
出油,是+,老,4.0
态度,也-,不错,1.0
喜欢,用 起来-,一般,1.0
追评,很-,不错,2.0
感觉,还 蛮-,好,1.0
头皮屑,起+,容易,2.0
味道,的+,明显,1.0
牌子,的 洗发水 确实-,好,1.0
实惠,性价比 很-,高,1.0
顺滑,后 依然 保持 柔软+,清洁,1.0
洗发露,满满-,一大,1.0
追评,洗发水 很-,香,1.0
洗完,的 头发 轻盈 又-,蓬松,2.0
油腻,很-,清爽,1.0
头发,清洁 感-,很棒,1.0
洗发水,在 遇到 了 这款+,好,1.0
感觉,用 完-,确实,1.0
性价比,还是-,不错,1.0
商品,的 功能丰富 实用 且-,精妙,1.0
头发,掉 得 好-,严重,1.0
效果,的+,清洁,1.0
洗完,头油 的 更-,快,1.0
效果,本钱 我 就 买 了 两瓶 看 你+,落足,1.0
搭配,的+,蓬松,1.0
感觉,洗发水-,不错,1.0
商品,气味-,持久,1.0
头皮,上洗 的 也 很-,干净,1.0
控油,确实-,不错,1.0
朋友,说 这款 洗发水 很-,好,1.0
洗头,也 不 觉得-,痒,1.0
控油,效果 让 我-,惊喜,6.0
洗完,头皮 很-,清爽,1.0
重点,是 洗完 头油 的 更-,快,1.0
头发,不-,黏腻,3.0
服务态度,极其-,恶,1.0
发质,的 改善+,明显,1.0
气味,很-,舒服,2.0
头发,的 油分-,明显,1.0
头发,也 不怎么-,痒,1.0
洗完,泡沫 绵密 我 大 油头+,好,1.0
购买,几次+,好,1.0
洗发水,的 控油 效果 让 我 非常-,惊喜,1.0
打开,后 赠送 了-,好,1.0
出厂日期,很-,新,1.0
追评,自己 用 的-,好,1.0
洗完,头发 非常-,柔顺,1.0
头发,只是 占 在 枕头 上 没有-,清理,1.0
买用,着 效果 也-,不错,1.0
头发,都 掉 了 还 怎么-,蓬松,1.0
朋友,介绍 说 还-,不错,1.0
包装,惊艳 到-,绝美,1.0
家里人,用 了 都 说-,挺好用,1.0
商品,气味-,清新,3.0
商品,用 的 确实-,不错,1.0
品牌,日期+,新,1.0
洗发水,的 性价比 很-,高,1.0
油腻,、 不+,毛躁,1.0
头发,变得 既 干净 又-,柔顺,1.0
护发素,也 很-,好,1.0
洗完,后 头发 也 很-,蓬松,1.0
洗发水,用 完 了-,直接,1.0
客服,有 的 态度 很-,好,1.0
控油,非常-,强,1.0
味道,是 清淡-,雅致,1.0
味道,几次 购买 了+,好,1.0
产品,非常 的-,好,1.0
洗完,之后 头皮 有种 很-,轻松,1.0
感觉,刚刚-,好,1.0
追评,巨巨-,巨好,1.0
大油头,很-,友好,1.0
复制,这段话 还 会-,认真,1.0
洗发水,是-,温和,1.0
头皮屑,用 了 两次+,连续,1.0
洗完,的 就是+,很好,1.0
追评,真的 很-,不错,1.0
泡沫,非常 的-,丰富,1.0
评价,的 网友 不要-,惊讶,1.0
追评,洗发水 我 都 买 了-,好,1.0
洗护,效果 非常-,好,1.0
追评,我 的 头发 是-,细软,1.0
控油,的 效果 真的 蛮-,不错,1.0
推荐,的 这 一款 洗发水 效果 真心-,不错,1.0
洗发,后 头发 不-,黏腻,1.0
超市,卖 的-,便宜,1.0
追评,洗完 的 头发 挺-,清爽,1.0
气味,很 香 很-,香,1.0
头发,不会 很滑 也 不会-,很涩,1.0
控油,效果 很-,明显,2.0
头发,的 就是 洗完+,很好,1.0
洗完,头 后 可以 坚持-,快,1.0
头发,保持-,清爽,7.0
头发,就 知道 很-,舒服,1.0
吹干,后 头发 非常-,细顺,1.0
追评,非常-,好,6.0
头发,真的 挺-,蓬松,1.0
黄色,瓶子 的 真心-,不错,1.0
头发,特别 特别-,柔顺,1.0
牌子,的 洗发水 真的 很-,不错,1.0
感觉,整个 头皮 都-,清爽,1.0
头发,都 觉得 心情-,愉悦,1.0
追评,遇见 一款-,好,1.0
有用,很-,香,1.0
效果,特别 的-,好,2.0
质量,真的 很-,好,1.0
油头,很-,好,1.0
头皮,过敏-,长,1.0
香味,很-,清新,3.0
洗完,头发 终于 再也 不 油腻-,扁,1.0
商品,气味 持-,香,1.0
香味,挺-,好,1.0
感觉,整个 人 都-,轻松,2.0
控油,比较-,好,1.0
感觉,相比 其他 洗发水 来说 控油 的 效果 还是-,不错,1.0
追评,可以-,挺好用,1.0
救星,对 油头 真的 太-,友好,1.0
油头,泡沫 绵密 我 大+,好,1.0
比商,超-,便宜,1.0
头发,是 那种 超-,干爽,1.0
泡沫,非常-,细腻,2.0
气味,听 朋友 说 这款 洗发水 很-,好,1.0
橙色,那 款 稍微-,好,1.0
味道,非常-,好,1.0
洗发水,就 有 很好 的-,清洁,1.0
味道,也 很-,不错,1.0
深层,控油 效果 很-,好,1.0
洗发水,味道-,清新,2.0
洗头,的 时候 闻 着 挺-,香,1.0
头油,的 效果 很-,明显,1.0
正品,非常 的-,好,1.0
清洗,用+,好,1.0
控油,效果 是 真的 好 泡沫 绵密 我-,大,1.0
生产日期,挺-,新,1.0
感觉,头发 很-,蓬松,1.0
追评,这个 商品 用 的 确实-,不错,1.0
洗发水,是 觉得 自己+,老,1.0
头发,更-,顺亮,1.0
洗发水,泡沫 非常-,丰富,1.0
洗完,之后 一整天 头发 都 很-,蓬松,1.0
洗完,之后 实在 是 太-,香,1.0
头发,比较-,干燥,1.0
去屑,效果-,最好,1.0
香味,是 我-,最爱,1.0
头发,都-,蓬松,2.0
洗发水,洗 了-,毛躁,1.0
感觉,被 骗 了 、 每次 刚 洗完 头发 还-,很痒,1.0
洗完,头发 以后 总是 觉得 头上 还是 很-,重,1.0
洗完,头发 超-,软顺,1.0
不用,洗发水 都 不会-,粗糙,1.0
朋友,说 看 我 头发 最近 很-,蓬松,1.0
效果,应该 会-,不错,1.0
不油,比较-,舒服,1.0
效果,也-,不错,14.0
实体店,买 的 去屑 止痒 效果 很-,好,1.0
产品,的+,好,1.0
喜欢,这种 干爽 和-,清爽,1.0
控油,的+,合适,1.0
洗完,头发 蓬松-,柔顺,1.0
追评,味道 是-,持久,1.0
洗发水,的 香味 特别-,敏感,2.0
发丝,轻盈 不-,黏腻,1.0
试试,买回来+,大,1.0
效果,是 真的 很-,不错,1.0
味道,超级-,好,1.0
护发素,说 一 嘴+,顺便,1.0
控油,的+,不错,1.0
洗发水,的+,差,2.0
用过,的 洗发水-,好,1.0
洗发水,真的 令 我 感到-,惊喜,1.0
追评,这次 买 的 去屑 没有 以前-,好,1.0
感觉,很-,清爽,9.0
感觉,到-,很大,1.0
洗完,顺顺-,滑滑,1.0
效果,都 有-,很高,1.0
小姐姐,的 服务 也 很-,好,1.0
效果,很-,好,89.0
追评,他家 这个 洗发水 真的-,好,1.0
头发,头皮 和+,清洁,1.0
姐姐,说 她 用 的 特别-,好,1.0
下意识,就 会 觉得 很-,干净,1.0
头发,出 油 问题 得到 了-,很大,1.0
觉着,非常-,不错,1.0
气味,气味 很-,好,1.0
头皮,的 去除 头发 和+,有效,1.0
发现,还是 这个-,好,1.0
头皮,就 会-,很痒,1.0
控油,效果 特别 好 洗完 头发 很 清爽-,蓬松,1.0
头发,也 油 得-,快,1.0
组合,性价比-,高,1.0
吹干,头顶 都-,蓬松,1.0
头发,不怎么-,容易,1.0
产品,的 成本 得 多-,低,1.0
气味,洗发水 很-,香,1.0
快递,包装-,完好,1.0
洗完,也 特别-,柔顺,1.0
头油,的 也-,慢,1.0
头发,洗完+,温和,1.0
头发,蓬松 又-,柔顺,1.0
洗发水,适用性 还是-,很强,1.0
感觉,和 清爽 的+,干爽,1.0
洗发水,的 气味 是-,很好,1.0
选择,还是+,最好,1.0
控油,洗完 头 后 特别-,清爽,1.0
泡沫,细腻-,丰富,6.0
只能,说 头发 多 的 姐妹 们 也 要-,慎重,1.0
洗完,之后 香香的 还 非常 的-,蓬松,1.0
商品,气味 洗发水 很-,香,1.0
产品,的 一款+,很好,1.0
头发,头皮 很-,舒服,1.0
追评,使用 过后 效果-,明显,1.0
追评,真的 超级-,好,2.0
追评,一直 在 尝试 各种 控油-,蓬松,1.0
发质,不光 干枯-,毛躁,1.0
喜欢,头发 很-,柔顺,1.0
洗完,之后 头发 非常 的-,蓬松,1.0
洗发水,闻 着 很-,清新,1.0
花香调,让 我 整天 都 沉浸 在-,愉悦,1.0
不用,直接 洗完 就 超级-,柔顺,1.0
头皮,感觉 非常-,清爽,4.0
香味,也 很-,不错,1.0
洗完,了 很-,柔顺,1.0
性价比,也-,不错,1.0
控油,效果 也 是 非常-,好,1.0
洗发水,挺-,香,1.0
头发,轻盈 又-,蓬松,2.0
商品,气味-,香,1.0
头发,不会-,干燥,2.0
头皮,地 去除+,有效,2.0
气味,很棒 价格 也 很-,合适,1.0
追评,洗发水 用 的 效果 非常-,好,1.0
洗发水,的 控油 能力-,确实,1.0
管好,就-,好,1.0
按摩,的 泡泡 在 头皮 上+,细腻,1.0
持续时间,也 很-,长,1.0
控油,洗发水 真的 非常-,好,1.0
头皮,超级-,清爽,1.0
喜欢,他家 这个 控油 的 效果 是 真的-,好,1.0
洗完,后 很-,柔顺,1.0
油腻,、 有 多-,蓬松,1.0
